codigo_barras,nome_produto,descricao
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT DESNATADO SHEF
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,SHEFA SEM/D GARRAFA 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA PET 1L INTEG
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,"LEITE SHEFA 1 I(0,45)"
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEIT SHEFA 1L SEM GF
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL 1L INT.
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE LV SHEFA GAL DESN 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,"LEITE SHEFA I(0,36)"
7896569400220,LEITE UHT DESNATADO LIDER TP 1000ML,LEITE UHT LIDER 1L DESN
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,"LEITE SHEFA I(1,04)"
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA GRF INTE
7896569400220,LEITE UHT DESNATADO LIDER TP 1000ML,LEITE LIDER DESN 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LTE UHT TIROL INT. 1L
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE L.V.TIROL DESN
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L V TIR
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE PET SHEF 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE DESNATADO 1L SHE.
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEIT SHEF INT 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.VIDA TIROL INT 1LT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL C 12
